#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Acidianus bottle-shaped virus	437444	PRJNA19605	19605	dsDNA viruses, no RNA stage	Ampullaviridae	23.814	34.6	archaea	 Unknown:NC_009452.1/EF432053.1	57	57	2007/04/25	2008/03/07	Complete Genome
Pyrococcus abyssi virus 1	425386	PRJNA19929	19929	dsDNA viruses, no RNA stage	unclassified	18.098	47.2	archaea	 Unknown:NC_009597.1/EF071488.1	25	25	2007/06/09	2008/03/07	Complete Genome
Marine RNA virus SOG	439014	PRJNA20647	20647	ssRNA viruses	unclassified	4.449	51.7	environment	 Unknown:NC_009756.1/EF198240.1	3	3	2007/07/15	2011/07/20	Complete Genome
Marine RNA virus JP-A	439015	PRJNA20649	20649	ssRNA viruses	unclassified	9.236	41.3	environment	 Unknown:NC_009757.1/EF198241.1	2	2	2007/07/15	2011/07/20	Complete Genome
Marine RNA virus JP-B	439016	PRJNA20651	20651	ssRNA viruses	unclassified	8.926	37.6	environment	 Unknown:NC_009758.1/EF198242.1	2	2	2007/07/15	2011/07/20	Complete Genome
Gill-associated virus	96491	PRJNA28679	28679	ssRNA viruses	Roniviridae	26.253	46.2	invertebrates	 Unknown:NC_010306.1/AF227196.2	-	5	2000/07/13	2010/03/11	Complete Genome
Tomato marchitez virus	470166	PRJNA30365	30365	ssRNA viruses	Secoviridae	12.135	42.0809	plants	 RNA 1:NC_010987.1/EF681764.1;  RNA 2:NC_010988.1/EF681765.1	3	3	2007/12/14	2017/06/15	Complete Genome
Ourmia melon virus	186786	PRJNA30737	30737	ssRNA viruses	unclassified	4.852	51.5204	plants	 RNA 1:NC_011068.1/EU770623.1;  RNA 2:NC_011069.1/EU770624.1;  RNA 3:NC_011070.1/EU770625.1	3	3	2008/07/05	2015/10/20	Complete Genome
Epirus cherry virus	544686	PRJNA30739	30739	ssRNA viruses	unclassified	4.757	53.0887	plants	 RNA 1:NC_011065.1/EU770620.1;  RNA 2:NC_011066.1/EU770621.1;  RNA 3:NC_011067.1/EU770622.1	3	3	2008/07/05	2015/10/20	Complete Genome
Sputnik virophage	543939	PRJNA30929	30929	dsDNA viruses, no RNA stage	Lavidaviridae	18.343	27	protozoa	 Unknown:NC_011132.1/EU606015.1	21	21	2008/08/06	2008/09/11	Complete Genome
Poinsettia latent virus	305785	PRJNA32691	32691	ssRNA viruses	Solemoviridae	4.652	45.8	plants	 Unknown:NC_011543.1/AJ867490.1	4	4	2004/12/14	2008/11/13	Complete Genome
Midway nyavirus	644609	PRJNA38097	38097	ssRNA viruses	Nyamiviridae	11.752	50.4	vertebrates, invertebrates	 Unknown:NC_012702.1/FJ554525.1	6	6	2009/05/18	2009/05/20	Complete Genome
Nyamanini nyavirus	644610	PRJNA38109	38109	ssRNA viruses	Nyamiviridae	11.631	52.3	vertebrates, invertebrates	 Unknown:NC_012703.1/FJ554526.1	6	6	2009/05/18	2009/05/20	Complete Genome
Vibrio phage douglas 12A4	573171	PRJNA39215	39215	dsDNA viruses, no RNA stage	unclassified	57.611	39	bacteria	 Unknown:NC_021068.1/HQ316580.1	75	75	2013/03/11	2013/04/19	Complete Genome
Vibrio phage helene 12B3	573173	PRJNA39217	39217	dsDNA viruses, no RNA stage	unclassified	135.982	37.6	bacteria	 Unknown:NC_021067.1/HQ316579.1	265	263	2013/03/11	2013/04/19	Complete Genome
Vibrio phage martha 12B12	573175	PRJNA39219	39219	dsDNA viruses, no RNA stage	Myoviridae	33.277	45.8	bacteria	 Unknown:NC_021070.1/HQ316581.1	51	51	2013/03/11	2013/04/19	Complete Genome
Wheat yellow dwarf virus-GPV	572239	PRJNA39307	39307	ssRNA viruses	Luteoviridae	5.673	49.5	plants	 Unknown:NC_012931.1/FM865413.1	7	7	2009/07/07	2016/07/24	Complete Genome
Salivirus NG-J1	651733	PRJNA39349	39349	ssRNA viruses	Picornaviridae	7.982	56.7	vertebrates, human	 Unknown:NC_012957.1/GQ179640.3	1	1	2009/06/17	2011/10/09	Complete Genome
Drosophila A virus	595895	PRJNA39351	39351	ssRNA viruses	unclassified	4.806	47.6	invertebrates	 Unknown:NC_012958.1/FJ150422.1	2	2	2009/07/09	2012/08/28	Complete Genome
Kalanchoe latent virus	132477	PRJNA39583	39583	ssRNA viruses	Betaflexiviridae	8.517	46	plants	 Unknown:NC_013006.1/FJ531634.1	7	7	2009/07/12	2010/01/07	Complete Genome
Carrot yellow leaf virus	656190	PRJNA39585	39585	ssRNA viruses	Closteroviridae	16.354	45.1	plants	 Unknown:NC_013007.1/FJ869862.1	10	10	2009/07/11	2012/11/27	Complete Genome
Sclerotinia sclerotiorum partitivirus S	659497	PRJNA39595	39595	dsRNA viruses	Partitiviridae	3.726	44.145	plants	 RNA 1:NC_013014.1/GQ280377.1;  RNA 2:NC_013015.1/GQ280378.1	2	2	2009/07/21	2015/10/20	Complete Genome
Aedes flavivirus	390845	PRJNA39601	39601	ssRNA viruses	Flaviviridae	11.064	50.1	vertebrates, invertebrates, human	 Unknown:NC_012932.1/AB488408.1	1	2	2009/07/08	2016/09/29	Complete Genome
Okra leaf curl virus-[Cameroon]	627503	PRJNA39605	39605	ssDNA viruses	Geminiviridae	2.386	43.3	plants	 Unknown:NC_013017.1/FM164726.1	6	6	2009/06/02	2015/02/10	Complete Genome
Sunn hemp leaf distortion virus	579113	PRJNA39609	39609	ssDNA viruses	Geminiviridae	2.774	42.9	plants	 Unknown:NC_013019.1/FJ455449.1	6	2	2009/02/09	2015/02/10	Complete Genome
Ipomoea yellow vein virus	653358	PRJNA39615	39615	ssDNA viruses	Geminiviridae	2.791	44.3	plants	 Unknown:NC_013022.2/EU839576.2	6	6	2009/06/13	2010/12/08	Complete Genome
Human papillomavirus 116	915428	PRJNA39691	39691	dsDNA viruses, no RNA stage	Papillomaviridae	7.184	38.5	vertebrates	 Unknown:NC_013035.1/FJ804072.1	7	7	2009/07/28	2010/12/23	Complete Genome
Anatid alphaherpesvirus 1	104388	PRJNA39725	39725	dsDNA viruses, no RNA stage	Herpesviridae	158.091	44.9	vertebrates	 Unknown:NC_013036.1/EU082088.2	77	77	2008/08/17	2010/11/16	Complete Genome
Burkholderia phage KS9	335797	PRJNA39771	39771	dsDNA viruses, no RNA stage	Siphoviridae	39.896	60.7	bacteria	 Unknown:NC_013055.1/FJ982340.1	50	50	2009/08/03	2012/04/30	Complete Genome
Morogoro mammarenavirus	573900	PRJNA39791	39791	ssRNA viruses	Arenaviridae	10.59	43.05	vertebrates, human	 L:NC_013058.1/EU914104.1;  S:NC_013057.1/EU914103.1	4	4	2009/07/31	2009/12/03	Complete Genome
Salmonella phage g341c	590739	PRJNA39795	39795	dsDNA viruses, no RNA stage	Podoviridae	40.975	47.4	bacteria	 Unknown:NC_013059.1/FJ000341.1	68	68	2009/08/01	2011/02/25	Complete Genome
Astrovirus VA1	645687	PRJNA39811	39811	ssRNA viruses	Astroviridae	6.586	41.9	vertebrates	 Unknown:NC_013060.1/FJ973620.1	3	3	2009/08/04	2016/03/28	Complete Genome
Faba bean necrotic stunt virus	283824	PRJNA39929	39929	ssDNA viruses	Nanoviridae	7.907	38.9521	plants	 DNA C:NC_013096.1/GQ150780.1;  DNA M:NC_013097.1/GQ150781.1;  DNA N:NC_013098.1/GQ150782.1;  DNA R:NC_013094.1/GQ150778.1;  DNA S:NC_013095.1/GQ150779.1;  DNA U1:NC_013099.1/GQ150783.1;  DNA U2:NC_013100.1/GQ150784.1;  DNA U4:NC_013101.1/GQ150785.1	8	8	2009/08/08	2009/09/25	Complete Genome
Tomato leaf curl Hainan virus	664980	PRJNA39931	39931	ssDNA viruses	Geminiviridae	2.748	42.4	plants	 Unknown:NC_013102.1/FN434083.1	6	6	2009/08/10	2010/11/18	Complete Genome
Stretch Lagoon orbivirus	559180	PRJNA39971	39971	dsRNA viruses	Reoviridae	6.725	42.9116	vertebrates, invertebrates	 segment 1:NC_012754.1/EU718676.1;  segment 2:NC_012755.1/EU718677.1	2	2	2009/05/26	2010/11/17	Complete Genome
Primula malacoides virus China/Mar2007	479713	PRJNA39975	39975	dsRNA viruses	Partitiviridae	4.734	40.9864	plants	 RNA 1:NC_013109.1/EU195326.1;  RNA 2:NC_013110.1/EU195327.1	2	2	2007/11/04	2009/08/24	Complete Genome
Cassava virus C	561576	PRJNA39977	39977	ssRNA viruses	unclassified	4.835	50.7801	plants	 RNA 1:NC_013111.1/FJ157981.1;  RNA 2:NC_013112.1/FJ157982.1;  RNA 3:NC_013113.1/FJ157983.1	3	3	2008/09/24	2015/10/20	Complete Genome
Sclerotinia sclerotiorum hypovirulence associated DNA virus 1	664785	PRJNA39985	39985	ssDNA viruses	Genomoviridae	2.166	47.2	fungi	 Unknown:NC_013116.1/GQ365709.1	2	2	2009/08/17	2010/05/20	Complete Genome
Francolinus leucoscepus papillomavirus 1	485362	PRJNA39987	39987	dsDNA viruses, no RNA stage	Papillomaviridae	7.498	52.9	vertebrates	 Unknown:NC_013117.1/EU188799.1	8	8	2009/08/17	2010/03/26	Complete Genome
Japanese holly fern mottle virus	659660	PRJNA40117	40117	dsRNA viruses	unclassified	9.235	46.156	plants	 RNA 1:NC_013133.1/FJ907327.1;  RNA 2:NC_013134.1/FJ907328.1	5	5	2009/08/20	2015/10/20	Complete Genome
Drosophila melanogaster sigmavirus AP30	666363	PRJNA40127	40127	ssRNA viruses	Rhabdoviridae	12.39	45.1	invertebrates	 Unknown:NC_013135.1/AM689309.3	16	6	2007/09/17	2013/05/16	Complete Genome
Staphylococcus phage P954	668618	PRJNA40231	40231	dsDNA viruses, no RNA stage	Siphoviridae	40.761	34	bacteria	 Unknown:NC_013195.1/GQ398772.1	69	69	2009/09/01	2012/04/30	Complete Genome
Turnip ringspot virus	392504	PRJNA40327	40327	ssRNA viruses	Secoviridae	10.067	41.4625	plants	 RNA 1:NC_013218.1/FJ712026.1;  RNA 2:NC_013219.1/FJ712027.1	2	2	2009/09/07	2011/10/02	Complete Genome
Canis familiaris papillomavirus 6	1513269	PRJNA40369	40369	dsDNA viruses, no RNA stage	Papillomaviridae	8.242	40.2	vertebrates	 Unknown:NC_013237.1/FJ492744.1	7	7	2009/09/14	2016/07/25	Complete Genome
Tomato infectious chlorosis virus	52135	PRJNA40419	40419	ssRNA viruses	Closteroviridae	16.184	37.0777	plants	 RNA 1:NC_013258.1/FJ815440.1;  RNA 2:NC_013259.1/FJ815441.1	11	11	2009/07/31	2010/07/07	Complete Genome
Canna yellow streak virus	433462	PRJNA40629	40629	ssRNA viruses	Potyviridae	9.502	41.4	plants	 Unknown:NC_013261.1/;  Unknown:GQ421689.2	2	3	2009/09/22	2009/10/15	Complete Genome
Pelargonium vein banding virus	671126	PRJNA40631	40631	Other	Caulimoviridae	7.586	48.6	plants	 Unknown:NC_013262.1/GQ428155.1	3	3	2009/09/20	2012/11/27	Complete Genome
Vibrio phage henriette 12B8	573174	PRJNA40641	40641	dsDNA viruses, no RNA stage	unclassified	107.218	41	bacteria	 Unknown:NC_021073.1/HQ316582.1	156	154	2013/03/11	2013/04/19	Complete Genome
Melandrium yellow fleck virus	545259	PRJNA40661	40661	ssRNA viruses	Bromoviridae	8.535	41.7441	plants	 RNA 1:NC_013266.1/AB444583.1;  RNA 2:NC_013267.1/AB444584.1;  RNA 3:NC_013268.1/AB444585.1	4	4	2009/09/26	2015/10/20	Complete Genome
Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	449133	PRJNA41081	41081	dsRNA viruses	Reoviridae	19.405	42.1526	vertebrates, invertebrates	 segment 1:NC_013396.1/AM744977.1;  segment 10:NC_013405.1/AM744986.1;  segment 2:NC_013397.1/AM744978.1;  segment 3:NC_013398.1/AM744979.1;  segment 4:NC_013399.1/AM744980.1;  segment 5:NC_013400.1/AM744981.1;  segment 6:NC_013401.1/AM744982.1;  segment 7:NC_013402.1/AM744983.1;  segment 8:NC_013403.1/AM744984.1;  segment 9:NC_013404.1/AM744985.1	10	10	2009/09/29	2015/03/17	Complete Genome
Tomato leaf curl Sulawesi virus	634441	PRJNA41173	41173	ssDNA viruses	Geminiviridae	2.751	41.3	plants	 Unknown:NC_013413.1/FJ237617.1	6	6	2009/09/30	2010/09/24	Complete Genome
Velvet bean severe mosaic virus	667119	PRJNA41175	41175	ssDNA viruses	Geminiviridae	5.39	40.2789	plants	 DNA A:NC_013414.1/FN543425.1;  DNA B:NC_013415.1/FN543426.1	9	9	2009/10/06	2016/01/07	Complete Genome
Barfin flounder nervous necrosis virus	43761	PRJNA41605	41605	ssRNA viruses	Nodaviridae	4.534	53.4155	vertebrates	 RNA 1:NC_013458.1/EU236146.1;  RNA 2:NC_013459.1/EU236147.1	3	3	2009/11/01	2009/11/09	Complete Genome
Tiger puffer nervous necrosis virus	43764	PRJNA41607	41607	ssRNA viruses	Nodaviridae	4.534	52.5686	vertebrates	 RNA 1:NC_013460.1/EU236148.1;  RNA 2:NC_013461.1/EU236149.1	3	3	2009/11/01	2012/11/23	Complete Genome
Saccharum streak virus	683179	PRJNA41611	41611	ssDNA viruses	Geminiviridae	2.744	53.5	plants	 Unknown:NC_013464.1/GQ273988.1	3	3	2009/10/31	2012/11/27	Complete Genome
Sweet potato leaf curl Canary virus	652718	PRJNA41623	41623	ssDNA viruses	Geminiviridae	2.807	44.6	plants	 Unknown:NC_013465.1/FJ529203.1	6	6	2009/06/17	2010/12/08	Complete Genome
Sweet potato leaf curl Lanzarote virus	574890	PRJNA41625	41625	ssDNA viruses	Geminiviridae	2.814	45	plants	 Unknown:NC_013467.1/EU839579.2	6	6	2009/06/13	2010/12/08	Complete Genome
Drosophila melanogaster totivirus SW-2009a	663282	PRJNA41725	41725	dsRNA viruses	Totiviridae	6.78	42.3	invertebrates	 Unknown:NC_013499.1/GQ342961.1	2	2	2009/11/08	2010/02/04	Complete Genome
Butterbur mosaic virus	666859	PRJNA42145	42145	ssRNA viruses	Betaflexiviridae	8.662	44.5	plants	 Unknown:NC_013527.1/AB517596.1	6	6	2009/11/20	2009/12/02	Complete Genome
Fort Morgan virus	48544	PRJNA42147	42147	ssRNA viruses	Togaviridae	11.381	48.6	vertebrates, invertebrates	 Unknown:NC_013528.1/GQ281603.1	3	3	2009/11/24	2012/06/27	Complete Genome
Vibrio phage SIO-2	700512	PRJNA42177	42177	dsDNA viruses, no RNA stage	Siphoviridae	81.184	45	bacteria	 Unknown:NC_016567.1/HQ316604.1	116	115	2011/11/19	2012/07/23	Complete Genome
Synechococcus phage S-SSM4	536466	PRJNA42181	42181	dsDNA viruses, no RNA stage	Myoviridae	182.801	39.4	bacteria	 Unknown:NC_020875.1/HQ316583.1	223	220	2013/03/10	2013/03/30	Complete Genome
Cyanophage SS120-1	616674	PRJNA42183	42183	dsDNA viruses, no RNA stage	unclassified	46.997	40.5	bacteria	 Unknown:NC_020872.1/HQ316584.1	53	52	2013/03/10	2013/03/30	Complete Genome
Acidianus spindle-shaped virus 1	693629	PRJNA42351	42351	dsDNA viruses, no RNA stage	Fuselloviridae	24.186	37.7	archaea	 Unknown:NC_013585.1/FJ870917.1	38	38	2009/11/25	2010/03/29	Complete Genome
Sulfolobus spindle-shaped virus 6	693627	PRJNA42355	42355	dsDNA viruses, no RNA stage	Fuselloviridae	15.684	38.2	archaea	 Unknown:NC_013587.1/FJ870915.1	33	33	2009/11/25	2010/07/08	Complete Genome
Sulfolobus spindle-shaped virus 7	693628	PRJNA42357	42357	dsDNA viruses, no RNA stage	Fuselloviridae	17.602	39	archaea	 Unknown:NC_013588.1/FJ870916.1	33	33	2009/11/25	2010/07/08	Complete Genome
Felid alphaherpesvirus 1	10334	PRJNA42429	42429	dsDNA viruses, no RNA stage	Herpesviridae	135.797	45.8	vertebrates	 Unknown:NC_013590.2/FJ478159.2	77	77	2009/11/30	2010/05/04	Complete Genome
Cotton leaf curl Gezira alphasatellite	679536	PRJNA42507	42507	Satellites	Alphasatellitidae	1.387	42	plants	 Unknown:NC_013593.1/FN554580.1	1	1	2009/11/29	2011/02/05	Complete Genome
Escherichia phage D108	665033	PRJNA42515	42515	dsDNA viruses, no RNA stage	Myoviridae	37.235	51.8	bacteria	 Unknown:NC_013594.1/GQ357916.1	57	57	2009/09/15	2010/06/29	Complete Genome
Streptococcus virus ALQ132	682370	PRJNA42593	42593	dsDNA viruses, no RNA stage	Siphoviridae	35.525	39.4	bacteria	 Unknown:NC_013598.1/FJ226752.1	44	44	2009/10/06	2010/01/07	Complete Genome
Xylella phage Xfas53	670252	PRJNA42595	42595	dsDNA viruses, no RNA stage	Podoviridae	36.674	56.8	bacteria	 Unknown:NC_013599.1/GQ421471.1	45	45	2009/09/07	2010/01/08	Complete Genome
Sodalis phage SO1	673375	PRJNA42597	42597	dsDNA viruses, no RNA stage	Siphoviridae	45.169	54.6	bacteria	 Unknown:NC_013600.1/GQ502199.1	59	59	2009/09/22	2011/09/02	Complete Genome
Pseudomonas phage phi-2	693582	PRJNA42717	42717	dsDNA viruses, no RNA stage	Podoviridae	43.144	58.9	bacteria	 Unknown:NC_013638.1/FN594518.1	43	43	2009/12/10	2011/01/06	Complete Genome
Tomato leaf curl Cameroon virus - [Cameroon:Buea:Okra:2008]	693895	PRJNA42743	42743	ssDNA viruses	Geminiviridae	2.808	42.2	plants	 Unknown:NC_013639.1/FM210278.1	7	9	2009/03/09	2009/12/18	Complete Genome
Sweet potato leaf curl Bengal virus - [India:West Bengal:2008]	693893	PRJNA42745	42745	ssDNA viruses	Geminiviridae	2.823	44.5	plants	 Unknown:NC_013640.2/FN432356.2	6	6	2009/09/17	2011/03/10	Complete Genome
Tomato yellow leaf curl Thailand betasatellite	693897	PRJNA14450	14450	Satellites	Tolecusatellitidae	1.337	37.3	plants	 Unknown:NC_004903.1/AJ566746.1	1	1	2003/06/17	2013/08/14	Complete Genome
Klebsiella phage KP32	674082	PRJNA42779	42779	dsDNA viruses, no RNA stage	Podoviridae	41.119	52.4	bacteria	 Unknown:NC_013647.1/GQ413937.1	44	44	2009/11/10	2010/05/26	Complete Genome
Klebsiella phage KP34	674081	PRJNA42781	42781	dsDNA viruses, no RNA stage	Podoviridae	43.809	54.1	bacteria	 Unknown:NC_013649.2/GQ413938.2	57	57	2009/11/10	2011/04/28	Complete Genome
Mycobacterium phage ET08	663554	PRJNA42783	42783	dsDNA viruses, no RNA stage	Myoviridae	155.445	64.6	bacteria	 Unknown:NC_013650.1/GQ303260.1	253	218	2009/09/10	2011/08/11	Complete Genome
Vibrio phage N4	644563	PRJNA42785	42785	dsDNA viruses, no RNA stage	Podoviridae	38.497	42.8	bacteria	 Unknown:NC_013651.1/FJ409640.1	47	47	2009/10/31	2012/05/17	Complete Genome
Enterococcus phage phiFL3A	673837	PRJNA42787	42787	dsDNA viruses, no RNA stage	Siphoviridae	39.576	34.5	bacteria	 Unknown:NC_013648.1/GQ478086.1	64	64	2009/12/08	2010/02/17	Complete Genome
Enterococcus phage phiFL1A	673832	PRJNA42789	42789	dsDNA viruses, no RNA stage	Siphoviridae	38.764	34	bacteria	 Unknown:NC_013646.1/GQ478081.1	61	61	2009/12/08	2010/02/17	Complete Genome
Streptococcus virus phiAbc2	633135	PRJNA42791	42791	dsDNA viruses, no RNA stage	Siphoviridae	34.882	39	bacteria	 Unknown:NC_013645.1/FJ236310.1	48	48	2009/10/06	2010/01/07	Complete Genome
Enterococcus phage phiFL4A	673839	PRJNA42793	42793	dsDNA viruses, no RNA stage	Siphoviridae	37.856	37.8	bacteria	 Unknown:NC_013644.1/GQ478088.1	55	55	2009/12/08	2010/02/17	Complete Genome
Enterococcus phage phiFL2A	673835	PRJNA42795	42795	dsDNA viruses, no RNA stage	Siphoviridae	36.27	34.6	bacteria	 Unknown:NC_013643.1/GQ478084.1	63	63	2009/12/08	2010/02/17	Complete Genome
Anguillid herpesvirus 1	150286	PRJNA42931	42931	dsDNA viruses, no RNA stage	Alloherpesviridae	248.526	53	vertebrates	 Unknown:NC_013668.3/FJ940765.3	133	134	2009/12/21	2012/05/22	Complete Genome
Shigella phage Ag3	637730	PRJNA42937	42937	dsDNA viruses, no RNA stage	Ackermannviridae	158.006	50.4	bacteria	 Unknown:NC_013693.1/FJ373894.1	220	216	2009/09/23	2011/07/18	Complete Genome
Mycobacterium virus Peaches	663557	PRJNA42939	42939	dsDNA viruses, no RNA stage	Siphoviridae	51.376	63.9	bacteria	 Unknown:NC_013694.1/GQ303263.1	86	86	2009/09/10	2017/12/07	Complete Genome
Deftia phage phiW-14	665032	PRJNA42945	42945	dsDNA viruses, no RNA stage	Myoviridae	157.486	56.3	bacteria	 Unknown:NC_013697.1/GQ357915.1	238	236	2009/09/09	2010/01/08	Complete Genome
Clavibacter phage CMP1	686439	PRJNA42947	42947	dsDNA viruses, no RNA stage	Siphoviridae	58.652	57	bacteria	 Unknown:NC_013698.1/GQ241246.1	74	74	2009/11/03	2010/12/08	Complete Genome
Pseudomonas phage LIT1	655098	PRJNA42949	42949	dsDNA viruses, no RNA stage	Podoviridae	72.544	55	bacteria	 Unknown:NC_013692.1/FN422399.1	90	90	2009/09/22	2011/01/25	Complete Genome
Pseudomonas phage LUZ7	655097	PRJNA42951	42951	dsDNA viruses, no RNA stage	Podoviridae	74.901	53.2	bacteria	 Unknown:NC_013691.1/FN422398.1	115	115	2009/09/22	2011/01/25	Complete Genome
Marseillevirus marseillevirus	694581	PRJNA43573	43573	dsDNA viruses, no RNA stage	Marseilleviridae	368.454	44.7	protozoa	 Unknown:NC_013756.1/GU071086.1	457	428	2010/01/09	2014/06/20	Complete Genome
Haloarcula hispanica pleomorphic virus 1	710112	PRJNA43589	43589	Other	Pleolipoviridae	8.082	55.8	archaea	 Unknown:NC_013758.1/GU321093.1	8	8	2010/01/25	2010/01/27	Complete Genome
